id,watershed_id,previous_date,current_date,vegetation_change,water_change,land_change,change_percentage,change_class,source
1,1,2026-06-15,2026-07-15,1.85,2.86,-4.71,9.42,Improving,SYNTHETIC_DEMO
2,1,2026-07-15,2026-08-15,3.25,-0.11,-3.14,6.49,Mixed,SYNTHETIC_DEMO
3,2,2026-06-15,2026-07-15,1.76,5.18,-6.94,13.88,Improving,SYNTHETIC_DEMO
4,2,2026-07-15,2026-08-15,4.07,1.68,-5.75,11.5,Improving,SYNTHETIC_DEMO
5,3,2026-06-15,2026-07-15,3.02,3.95,-6.97,13.94,Improving,SYNTHETIC_DEMO
6,3,2026-07-15,2026-08-15,7.5,2.65,-10.16,20.32,Improving,SYNTHETIC_DEMO
7,4,2026-06-15,2026-07-15,5.82,3.69,-9.51,19.02,Improving,SYNTHETIC_DEMO
8,4,2026-07-15,2026-08-15,0.04,3.19,-3.23,6.47,Improving,SYNTHETIC_DEMO
9,5,2026-06-15,2026-07-15,4.85,1.54,-6.39,12.78,Improving,SYNTHETIC_DEMO
10,5,2026-07-15,2026-08-15,3.74,2.72,-6.46,12.92,Improving,SYNTHETIC_DEMO
11,6,2026-06-15,2026-07-15,2.02,3.28,-5.3,10.6,Improving,SYNTHETIC_DEMO
12,6,2026-07-15,2026-08-15,7.87,1.4,-9.26,18.53,Improving,SYNTHETIC_DEMO
13,7,2026-06-15,2026-07-15,4.94,1.46,-6.39,12.79,Improving,SYNTHETIC_DEMO
14,7,2026-07-15,2026-08-15,2.78,1.74,-4.53,9.06,Improving,SYNTHETIC_DEMO
15,8,2026-06-15,2026-07-15,4.36,1.42,-5.77,11.54,Improving,SYNTHETIC_DEMO
16,8,2026-07-15,2026-08-15,4.85,3.78,-8.63,17.26,Improving,SYNTHETIC_DEMO
17,9,2026-06-15,2026-07-15,2.23,4.52,-6.75,13.5,Improving,SYNTHETIC_DEMO
18,9,2026-07-15,2026-08-15,0.63,2.75,-3.38,6.76,Improving,SYNTHETIC_DEMO
19,10,2026-06-15,2026-07-15,1.1,2.55,-3.65,7.3,Improving,SYNTHETIC_DEMO
20,10,2026-07-15,2026-08-15,7.76,3.08,-10.84,21.69,Improving,SYNTHETIC_DEMO
21,11,2026-06-15,2026-07-15,4.53,0.38,-4.9,9.8,Improving,SYNTHETIC_DEMO
22,11,2026-07-15,2026-08-15,7.61,5.96,-13.57,27.14,Improving,SYNTHETIC_DEMO
23,12,2026-06-15,2026-07-15,5.27,1.16,-6.43,12.86,Improving,SYNTHETIC_DEMO
24,12,2026-07-15,2026-08-15,6.94,5.82,-12.77,25.53,Improving,SYNTHETIC_DEMO
