id,watershed_id,image_path,latitude,longitude,capture_date,source,description
1,1,uploads/demo_watershed_01_1.jpg,23.336777,86.359575,2026-06-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
2,1,uploads/demo_watershed_01_2.jpg,23.329676,86.369146,2026-07-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
3,1,uploads/demo_watershed_01_3.jpg,23.333036,86.360345,2026-08-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
4,2,uploads/demo_watershed_02_1.jpg,23.240984,87.069889,2026-06-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
5,2,uploads/demo_watershed_02_2.jpg,23.243941,87.070674,2026-07-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
6,2,uploads/demo_watershed_02_3.jpg,23.243317,87.064798,2026-08-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
7,3,uploads/demo_watershed_03_1.jpg,22.457905,86.989451,2026-06-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
8,3,uploads/demo_watershed_03_2.jpg,22.458036,86.987216,2026-07-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
9,3,uploads/demo_watershed_03_3.jpg,22.449397,86.990695,2026-08-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
10,4,uploads/demo_watershed_04_1.jpg,23.834967,87.614104,2026-06-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
11,4,uploads/demo_watershed_04_2.jpg,23.84471,87.614698,2026-07-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
12,4,uploads/demo_watershed_04_3.jpg,23.835104,87.613206,2026-08-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
13,5,uploads/demo_watershed_05_1.jpg,23.689826,87.246667,2026-06-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
14,5,uploads/demo_watershed_05_2.jpg,23.686909,87.248692,2026-07-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
15,5,uploads/demo_watershed_05_3.jpg,23.688234,87.246862,2026-08-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
16,6,uploads/demo_watershed_06_1.jpg,23.506759,86.679183,2026-06-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
17,6,uploads/demo_watershed_06_2.jpg,23.503616,86.681339,2026-07-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
18,6,uploads/demo_watershed_06_3.jpg,23.499566,86.677594,2026-08-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
19,7,uploads/demo_watershed_07_1.jpg,22.809615,86.198816,2026-06-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
20,7,uploads/demo_watershed_07_2.jpg,22.810265,86.198391,2026-07-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
21,7,uploads/demo_watershed_07_3.jpg,22.808513,86.200705,2026-08-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
22,8,uploads/demo_watershed_08_1.jpg,23.344979,85.315178,2026-06-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
23,8,uploads/demo_watershed_08_2.jpg,23.342788,85.309484,2026-07-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
24,8,uploads/demo_watershed_08_3.jpg,23.346016,85.308525,2026-08-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
25,9,uploads/demo_watershed_09_1.jpg,22.619612,84.500924,2026-06-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
26,9,uploads/demo_watershed_09_2.jpg,22.614211,84.501241,2026-07-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
27,9,uploads/demo_watershed_09_3.jpg,22.62152,84.49802,2026-08-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
28,10,uploads/demo_watershed_10_1.jpg,22.121374,84.046821,2026-06-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
29,10,uploads/demo_watershed_10_2.jpg,22.116445,84.041132,2026-07-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
30,10,uploads/demo_watershed_10_3.jpg,22.112814,84.038256,2026-08-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
31,11,uploads/demo_watershed_11_1.jpg,21.338854,83.615321,2026-06-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
32,11,uploads/demo_watershed_11_2.jpg,21.327398,83.614028,2026-07-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
33,11,uploads/demo_watershed_11_3.jpg,21.32878,83.623585,2026-08-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
34,12,uploads/demo_watershed_12_1.jpg,20.708862,83.485216,2026-06-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
35,12,uploads/demo_watershed_12_2.jpg,20.704099,83.480082,2026-07-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
36,12,uploads/demo_watershed_12_3.jpg,20.711278,83.483601,2026-08-18,SYNTHETIC_DEMO,Synthetic geo-coded field image for prototype testing
