id,watershed_id,ndvi,water_area,vegetation_area,soil_area,analysis_date,source,method
1,1,0.615,17.58,46.4,120.62,2026-06-15,SYNTHETIC_DEMO,Prototype thematic analysis
2,1,0.67,20.44,48.25,115.91,2026-07-15,SYNTHETIC_DEMO,Prototype thematic analysis
3,1,0.689,20.33,51.5,112.77,2026-08-15,SYNTHETIC_DEMO,Prototype thematic analysis
4,2,0.495,9.26,53.72,79.82,2026-06-15,SYNTHETIC_DEMO,Prototype thematic analysis
5,2,0.531,14.44,55.48,72.88,2026-07-15,SYNTHETIC_DEMO,Prototype thematic analysis
6,2,0.593,16.12,59.55,67.13,2026-08-15,SYNTHETIC_DEMO,Prototype thematic analysis
7,3,0.432,13.89,58.83,138.59,2026-06-15,SYNTHETIC_DEMO,Prototype thematic analysis
8,3,0.472,17.84,61.85,131.62,2026-07-15,SYNTHETIC_DEMO,Prototype thematic analysis
9,3,0.544,20.49,69.35,121.46,2026-08-15,SYNTHETIC_DEMO,Prototype thematic analysis
10,4,0.593,25.48,64.33,77.69,2026-06-15,SYNTHETIC_DEMO,Prototype thematic analysis
11,4,0.649,29.17,70.15,68.18,2026-07-15,SYNTHETIC_DEMO,Prototype thematic analysis
12,4,0.717,32.36,70.19,64.95,2026-08-15,SYNTHETIC_DEMO,Prototype thematic analysis
13,5,0.441,20.76,67.62,30.82,2026-06-15,SYNTHETIC_DEMO,Prototype thematic analysis
14,5,0.5,22.3,72.47,24.43,2026-07-15,SYNTHETIC_DEMO,Prototype thematic analysis
15,5,0.529,25.02,76.21,17.97,2026-08-15,SYNTHETIC_DEMO,Prototype thematic analysis
16,6,0.619,13.08,46.0,139.31,2026-06-15,SYNTHETIC_DEMO,Prototype thematic analysis
17,6,0.685,16.36,48.02,134.01,2026-07-15,SYNTHETIC_DEMO,Prototype thematic analysis
18,6,0.702,17.76,55.89,124.75,2026-08-15,SYNTHETIC_DEMO,Prototype thematic analysis
19,7,0.638,21.07,41.79,172.84,2026-06-15,SYNTHETIC_DEMO,Prototype thematic analysis
20,7,0.676,22.53,46.73,166.45,2026-07-15,SYNTHETIC_DEMO,Prototype thematic analysis
21,7,0.716,24.27,49.51,161.92,2026-08-15,SYNTHETIC_DEMO,Prototype thematic analysis
22,8,0.626,15.25,53.76,107.88,2026-06-15,SYNTHETIC_DEMO,Prototype thematic analysis
23,8,0.686,16.67,58.12,102.11,2026-07-15,SYNTHETIC_DEMO,Prototype thematic analysis
24,8,0.748,20.45,62.97,93.48,2026-08-15,SYNTHETIC_DEMO,Prototype thematic analysis
25,9,0.515,9.7,60.87,151.03,2026-06-15,SYNTHETIC_DEMO,Prototype thematic analysis
26,9,0.581,14.22,63.1,144.28,2026-07-15,SYNTHETIC_DEMO,Prototype thematic analysis
27,9,0.652,16.97,63.73,140.9,2026-08-15,SYNTHETIC_DEMO,Prototype thematic analysis
28,10,0.512,19.27,57.45,183.78,2026-06-15,SYNTHETIC_DEMO,Prototype thematic analysis
29,10,0.575,21.82,58.55,180.13,2026-07-15,SYNTHETIC_DEMO,Prototype thematic analysis
30,10,0.634,24.9,66.31,169.29,2026-08-15,SYNTHETIC_DEMO,Prototype thematic analysis
31,11,0.531,20.94,54.95,78.8,2026-06-15,SYNTHETIC_DEMO,Prototype thematic analysis
32,11,0.573,21.32,59.48,73.9,2026-07-15,SYNTHETIC_DEMO,Prototype thematic analysis
33,11,0.66,27.28,67.09,60.33,2026-08-15,SYNTHETIC_DEMO,Prototype thematic analysis
34,12,0.594,23.19,52.48,113.43,2026-06-15,SYNTHETIC_DEMO,Prototype thematic analysis
35,12,0.671,24.35,57.75,107.0,2026-07-15,SYNTHETIC_DEMO,Prototype thematic analysis
36,12,0.7,30.17,64.69,94.23,2026-08-15,SYNTHETIC_DEMO,Prototype thematic analysis
