id,name,district,state,latitude,longitude,area_sq_km
1,Damodar Green Watershed,Purulia,West Bengal,23.3321,86.3652,184.6
2,Kangsabati Rural Watershed,Bankura,West Bengal,23.2385,87.0691,142.8
3,Subarnarekha Watershed,Jhargram,West Bengal,22.4524,86.9872,211.3
4,Mayurakshi Watershed,Birbhum,West Bengal,23.8401,87.6186,167.5
5,Ajay Micro Watershed,Paschim Bardhaman,West Bengal,23.685,87.2474,119.2
6,Barakar Watershed,Purulia,West Bengal,23.5027,86.6768,198.4
7,Kharkai Watershed,East Singhbhum,Jharkhand,22.8046,86.2029,235.7
8,Koel Rural Watershed,Ranchi,Jharkhand,23.3441,85.3096,176.9
9,Sankh Watershed,Simdega,Jharkhand,22.6158,84.5032,221.6
10,Brahmani Upland Watershed,Sundargarh,Odisha,22.1168,84.043,260.5
11,Mahanadi Fringe Watershed,Bargarh,Odisha,21.333,83.619,154.7
12,Tel River Watershed,Balangir,Odisha,20.7083,83.484,189.1
